Date,medtecs,sti,topglove
2017-09-08,0.049,3.35,0.9
2017-09-11,0.049,3.36,0.87
2017-09-12,0.049,3.36,0.87
2017-09-13,0.05,3.36,0.865
2017-09-14,0.049,3.35,0.8875
2017-09-15,0.049,3.35,0.88
2017-09-18,0.048,3.38,0.865
2017-09-19,0.048,3.35,0.87
2017-09-20,0.048,3.35,0.875
2017-09-21,0.049,3.34,0.875
2017-09-22,0.049,3.35,0.875
2017-09-25,0.049,3.34,0.875
2017-09-26,0.049,3.34,0.875
2017-09-27,0.049,3.38,0.8825
2017-09-28,0.049,3.36,0.885
2017-09-29,0.049,3.35,0.885
2017-10-02,0.049,3.4,0.89
2017-10-03,0.049,3.38,0.905
2017-10-04,0.049,3.36,0.905
2017-10-05,0.05,3.4,0.91
2017-10-06,0.05,3.43,0.91
2017-10-09,0.049,3.43,0.91
2017-10-10,0.049,3.42,0.91
2017-10-11,0.05,3.41,0.91
2017-10-12,0.049,3.43,0.955
2017-10-13,0.049,3.46,0.9575
2017-10-16,0.049,3.46,1.025
2017-10-17,0.049,3.46,0.99
2017-10-19,0.049,3.47,1.04
2017-10-20,0.049,3.47,1.085
2017-10-23,0.049,3.48,1.075
2017-10-24,0.049,3.47,1.05
2017-10-25,0.048,3.47,1.05
2017-10-26,0.049,3.49,1.025
2017-10-27,0.05,3.51,1.03
2017-10-30,0.05,3.51,1.03
2017-10-31,0.048,3.51,1.035
2017-11-01,0.049,3.52,1.04
2017-11-02,0.051,3.52,1.045
2017-11-03,0.05,3.52,1.045
2017-11-06,0.049,3.51,1.065
2017-11-07,0.048,3.54,1.065
2017-11-08,0.049,3.55,1.07
2017-11-09,0.048,3.56,1.08
2017-11-10,0.048,3.56,1.105
2017-11-13,0.048,3.56,1.13
2017-11-14,0.048,3.54,1.125
2017-11-15,0.048,3.49,1.105
2017-11-16,0.047,3.47,1.105
2017-11-17,0.048,3.5,1.105
2017-11-20,0.048,3.51,1.1
2017-11-21,0.047,3.55,1.085
2017-11-22,0.049,3.56,1.1
2017-11-23,0.048,3.54,1.1
2017-11-24,0.049,3.57,1.105
2017-11-27,0.049,3.56,1.15
2017-11-28,0.049,3.57,1.14
2017-11-29,0.047,3.56,1.13
2017-11-30,0.047,3.56,1.13
2017-12-01,0.047,3.58,1.13
2017-12-04,0.047,3.57,1.13
2017-12-05,0.047,3.56,1.08
2017-12-06,0.047,3.5,1.08
2017-12-07,0.048,3.5,1.08
2017-12-08,0.048,3.56,1.08
2017-12-11,0.048,3.59,1.085
2017-12-12,0.048,3.58,1.085
2017-12-13,0.048,3.59,1.11
2017-12-14,0.047,3.56,1.11
2017-12-15,0.047,3.55,1.13
2017-12-18,0.047,3.54,1.15
2017-12-19,0.047,3.54,1.225
2017-12-20,0.047,3.52,1.395
2017-12-21,0.047,3.52,1.325
2017-12-22,0.047,3.53,1.325
2017-12-26,0.047,3.52,1.325
2017-12-27,0.047,3.53,1.325
2017-12-28,0.048,3.54,1.325
2017-12-29,0.049,3.54,1.35
2018-01-02,0.049,3.5,1.395
2018-01-03,0.048,3.54,1.4
2018-01-04,0.049,3.55,1.45
2018-01-05,0.049,3.56,1.47
2018-01-08,0.048,3.59,1.52
2018-01-09,0.048,3.6,1.5
2018-01-10,0.049,3.59,1.5
2018-01-11,0.049,3.59,1.475
2018-01-12,0.049,3.6,1.525
2018-01-15,0.049,3.61,1.54
2018-01-16,0.049,3.63,1.575
2018-01-17,0.048,3.62,1.585
2018-01-18,0.048,3.61,1.59
2018-01-19,0.048,3.62,1.51
2018-01-22,0.048,3.65,1.53
2018-01-23,0.048,3.67,1.63
2018-01-24,0.048,3.69,1.67
2018-01-25,0.048,3.64,1.595
2018-01-26,0.048,3.65,1.605
2018-01-29,0.048,3.65,1.62
2018-01-30,0.048,3.63,1.585
2018-01-31,0.048,3.61,1.58
2018-02-01,0.048,3.63,1.6
2018-02-02,0.048,3.61,1.55
2018-02-05,0.048,3.56,1.525
2018-02-06,0.047,3.5,1.5
2018-02-07,0.047,3.47,1.55
2018-02-08,0.047,3.51,1.56
2018-02-09,0.047,3.44,1.55
2018-02-12,0.046,3.46,1.55
2018-02-13,0.046,3.48,1.575
2018-02-14,0.047,3.49,1.595
2018-02-15,0.047,3.52,1.59
2018-02-19,0.047,3.57,1.575
2018-02-20,0.047,3.55,1.61
2018-02-21,0.046,3.6,1.645
2018-02-22,0.046,3.57,1.665
2018-02-23,0.046,3.62,1.675
2018-02-26,0.046,3.64,1.71
2018-02-27,0.047,3.62,1.73
2018-02-28,0.047,3.6,1.685
2018-03-01,0.047,3.57,1.685
2018-03-02,0.046,3.56,1.69
2018-03-05,0.046,3.52,1.69
2018-03-06,0.046,3.56,1.655
2018-03-07,0.046,3.52,1.605
2018-03-08,0.046,3.55,1.605
2018-03-09,0.046,3.56,1.605
2018-03-12,0.046,3.62,1.605
2018-03-13,0.046,3.64,1.605
2018-03-14,0.046,3.62,1.625
2018-03-15,0.046,3.59,1.625
2018-03-16,0.046,3.59,1.64
2018-03-19,0.046,3.57,1.655
2018-03-20,0.046,3.58,1.655
2018-03-21,0.047,3.59,1.62
2018-03-22,0.046,3.57,1.655
2018-03-23,0.046,3.5,1.655
2018-03-26,0.046,3.5,1.635
2018-03-27,0.045,3.52,1.64
2018-03-28,0.045,3.48,1.64
2018-03-29,0.045,3.51,1.64
2018-04-02,0.044,3.52,1.64
2018-04-03,0.044,3.49,1.53
2018-04-04,0.044,3.43,1.625
2018-04-05,0.046,3.49,1.69
2018-04-06,0.046,3.53,1.69
2018-04-09,0.046,3.54,1.69
2018-04-10,0.045,3.55,1.69
2018-04-11,0.045,3.57,1.695
2018-04-12,0.045,3.54,1.695
2018-04-13,0.045,3.59,1.705
2018-04-16,0.045,3.57,1.705
2018-04-17,0.045,3.59,1.705
2018-04-18,0.045,3.65,1.725
2018-04-19,0.044,3.69,1.725
2018-04-20,0.044,3.65,1.8
2018-04-23,0.044,3.67,1.795
2018-04-24,0.044,3.67,1.605
2018-04-25,0.044,3.66,1.625
2018-04-26,0.044,3.67,1.625
2018-04-27,0.044,3.68,1.625
2018-04-30,0.044,3.74,1.625
2018-05-02,0.044,3.71,1.635
2018-05-03,0.044,3.67,1.615
2018-05-04,0.044,3.66,1.635
2018-05-07,0.044,3.66,1.69
2018-05-08,0.044,3.66,1.69
2018-05-09,0.044,3.68,1.64
2018-05-10,0.044,3.66,1.625
2018-05-11,0.044,3.69,1.625
2018-05-14,0.044,3.69,1.715
2018-05-15,0.043,3.67,1.745
2018-05-16,0.043,3.65,1.745
2018-05-17,0.043,3.66,1.705
2018-05-18,0.043,3.66,1.75
2018-05-21,0.043,3.68,1.75
2018-05-22,0.043,3.67,1.75
2018-05-23,0.043,3.62,1.625
2018-05-24,0.043,3.66,1.625
2018-05-25,0.043,3.66,1.75
2018-05-28,0.043,3.66,1.64
2018-05-30,0.043,3.58,1.715
2018-05-31,0.041,3.58,1.75
2018-06-01,0.041,3.55,1.75
